,ref
292,It might have been more useful as a handbook had it cleaved more closely to the structural model of standard style manuals.
293,"My greatest objection to it is its argumentative, disputatious tone, which frequently borders on the vituperative."
294,"It is as if you looked up, say, infer/imply in a usage manual and the author's treatment, in place of an explanation and sound advice, were an unpleasant diatribe against anyone so dense and rude as to have had to look up the entry to begin with."
295,"As for me, I do my utmost to avoid language that may offend people, including men."
296,Let us consider two recent British dictionaries.
297,"Looking at these figures, or at the books themselves, one would assume that the two dictionaries are of roughly the same size."
298,But between water and watt there are fifty-four main entries in Cobuild and 148 in CED .
299,"On the other hand, the shared main entry for watershed has twenty-three words in CED but 93 in Cobuild ."
300,"So CED enters more items than Cobuild , but devotes less space to explaining them."
301,"Cobuild and CED are far from being such polar opposites, but they exemplify this general point."
